event_time,term,estimate,std.error,statistic,p.value,conf.low,conf.high,region,region_slug,outcome
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0085759916397294,0.0113396281988984,0.7562850817774215,0.4688111346782508,-0.0170760295138772,0.0342280127933361,Sudeste,sudeste,log_num_voters_low_ed
-2,(reference period),0.0,,,,,,Sudeste,sudeste,log_num_voters_low_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.2812888759455216,0.0285086455360594,-9.86679200840076,4.000342574660621e-06,-0.3457799126465936,-0.2167978392444496,Sudeste,sudeste,log_num_voters_low_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.1993175438975467,0.0148558868176512,-13.41673818224869,2.960323963872112e-07,-0.2329238946718159,-0.1657111931232774,Sudeste,sudeste,log_num_voters_low_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.1728913533111828,0.014875022479572,-11.622930556818726,1.0101619962480696e-06,-0.2065409919601309,-0.1392417146622347,Sudeste,sudeste,log_num_voters_low_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.1427680462635928,0.0179768242814415,-7.941783489032589,2.3463735482894885e-05,-0.1834344480762205,-0.102101644450965,Sudeste,sudeste,log_num_voters_low_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.1091343887886188,0.0215812113759046,-5.056916726670257,0.0006838945240162494,-0.1579544806844837,-0.0603142968927539,Sudeste,sudeste,log_num_voters_low_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0149353522501958,0.0241676139231974,0.6179903526123475,0.5518970350769696,-0.0397355886939069,0.0696062931942987,Sudeste,sudeste,log_num_voters_high_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.002156947406886,0.0242422952151975,-0.0889745540898229,0.9310506028777632,-0.0569968291706138,0.0526829343568417,Sudeste,sudeste,log_num_voters_high_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0157000567711081,0.0356634028871363,0.4402287919858348,0.6701544316907981,-0.0649761655197855,0.0963762790620019,Sudeste,sudeste,log_num_voters_high_ed
-2,(reference period),0.0,,,,,,Sudeste,sudeste,log_num_voters_high_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.0420642576928013,0.0569075590835531,0.7391681943525558,0.4786388499230483,-0.0866695847054205,0.1707981000910232,Sudeste,sudeste,log_num_voters_high_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.1054171693624699,0.0162278997711913,6.496045135157447,0.00011196467176565746,0.0687071096578981,0.1421272290670416,Sudeste,sudeste,log_num_voters_high_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.1086732468830201,0.0705203154045375,1.5410204316248377,0.1577006798349013,-0.050854789732143,0.2682012834981834,Sudeste,sudeste,log_num_voters_high_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.1481838196797145,0.046909268028329,3.158945468733908,0.0115698266847631,0.042067683007809,0.2542999563516199,Sudeste,sudeste,log_num_voters_high_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.0335247004461735,0.0431975965620357,0.7760779097519699,0.4576116543146358,-0.0641950520323026,0.1312444529246497,Sudeste,sudeste,log_num_voters_high_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0206115724106025,0.0108715662374091,1.895915635382684,0.0904769313552488,-0.0039816190241877,0.0452047638453927,Sul,sul,log_num_voters
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.0079874883462712,0.0043375105421877,1.84149139663936,0.0986773806941553,-0.0018246421954514,0.0177996188879939,Sul,sul,log_num_voters
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0032555306291094,0.0038809308290838,0.8388530413148254,0.4232716539866538,-0.0055237448442269,0.0120348061024457,Sul,sul,log_num_voters
-2,(reference period),0.0,,,,,,Sul,sul,log_num_voters
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.1153874239597288,0.0139547566342356,-8.268680492545856,1.698418456974483e-05,-0.1469552766349706,-0.0838195712844869,Sul,sul,log_num_voters
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.0923364864013782,0.0103735947689025,-8.901107905061014,9.344874088970963e-06,-0.1158031881118172,-0.0688697846909393,Sul,sul,log_num_voters
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.0990006161606421,0.011345073076237,-8.726309252957112,1.0984113720715436e-05,-0.1246649544825208,-0.0733362778387633,Sul,sul,log_num_voters
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.0486793062478535,0.0507927051863577,0.958391683791006,0.362901555863193,-0.0662217756073631,0.1635803881030703,Sul,sul,log_num_voters
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.1212088325122112,0.0614932871089293,1.9710904752497884,0.080201311801376,-0.0178986473852598,0.2603163124096824,Sul,sul,log_num_voters
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,-0.0080560171124763,0.0023971998359748,-3.360594720381493,0.0083812375184651,-0.0134788598920853,-0.0026331743328672,Sul,sul,pct_voters_low_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.0039162520738966,0.002481485806343,-1.5781883837038997,0.1489782928635693,-0.0095297629650976,0.0016972588173043,Sul,sul,pct_voters_low_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0023306611520171,0.0020329758915123,-1.1464283279244252,0.2811829640644072,-0.0069295721267978,0.0022682498227635,Sul,sul,pct_voters_low_ed
-2,(reference period),0.0,,,,,,Sul,sul,pct_voters_low_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.049470481896806,0.0022751645179682,-21.743694359731187,4.33874143317389e-09,-0.0546172616076721,-0.0443237021859398,Sul,sul,pct_voters_low_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.0356601063821347,0.0019433045723054,-18.350240559476028,1.9374213145592583e-08,-0.040056166739874,-0.0312640460243954,Sul,sul,pct_voters_low_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.0165497514365891,0.0027550251329397,-6.007114504588933,0.0002007408410230928,-0.0227820512747577,-0.0103174515984205,Sul,sul,pct_voters_low_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.0387510982338683,0.0091535106804522,-4.233468402087858,0.0021953452598552,-0.0594577779844033,-0.0180444184833334,Sul,sul,pct_voters_low_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,-0.02220497190258,0.0074202287572738,-2.9924915563840573,0.0151396041992962,-0.0389906955354483,-0.0054192482697118,Sul,sul,pct_voters_low_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0078993975748743,0.0023571277830908,3.351281008836954,0.0085062043560523,0.0025672040767246,0.0132315910730239,Sul,sul,pct_voters_high_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.0039103457104744,0.0023496395026792,1.6642321964776323,0.1304239842543958,-0.0014049081205049,0.0092255995414539,Sul,sul,pct_voters_high_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,0.0023725053122789,0.0020208890868575,1.1739908576418363,0.2705278184389106,-0.0021990634107766,0.0069440740353344,Sul,sul,pct_voters_high_ed
-2,(reference period),0.0,,,,,,Sul,sul,pct_voters_high_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.0503970462625252,0.0024416179077417,20.640840691219427,6.873512360022528e-09,0.0448737228237109,0.0559203697013395,Sul,sul,pct_voters_high_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.0359106004886491,0.0017930437494861,20.02773245155874,8.969229066343908e-09,0.0318544537275384,0.0399667472497599,Sul,sul,pct_voters_high_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.0159664609537688,0.0026757743125195,5.967043214020086,0.00021086657961343265,0.0099134389266713,0.0220194829808662,Sul,sul,pct_voters_high_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,0.0393256794734116,0.009853569902632,3.99100832104586,0.003152927683217,0.0170353557390396,0.0616160032077835,Sul,sul,pct_voters_high_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.0222334516847451,0.0080783972398318,2.752210744864032,0.0223956751335696,0.0039588475047302,0.0405080558647599,Sul,sul,pct_voters_high_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0046072086814641,0.0084846019679454,0.5430082281844291,0.6003117409638355,-0.0145862944338154,0.0238007117967438,Sul,sul,log_num_voters_low_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,-0.000424439025414684,0.0036697364734479,-0.1156592655864184,0.9104620971424144,-0.0087259596744068,0.0078770816235774,Sul,sul,log_num_voters_low_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0023969863955807,0.004751711263725,-0.5044469797396123,0.6260655938321511,-0.0131461040663652,0.0083521312752036,Sul,sul,log_num_voters_low_ed
-2,(reference period),0.0,,,,,,Sul,sul,log_num_voters_low_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,-0.2013386553012018,0.0101892607907274,-19.75988832128305,1.0099888872234118e-08,-0.2243883645825647,-0.1782889460198388,Sul,sul,log_num_voters_low_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,-0.1494414638948115,0.0097286657998313,-15.360941260558349,9.174606367588769e-08,-0.1714492349183698,-0.1274336928712532,Sul,sul,log_num_voters_low_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,-0.1131031211161237,0.0116506510666956,-9.707879883162777,4.577196127189989e-06,-0.1394587248779119,-0.0867475173543356,Sul,sul,log_num_voters_low_ed
6,fixest::.__event_time_plot__::6:.__ever_treated__,-0.0902814041190452,0.0884996266721313,-1.020133163425817,0.3343028893314432,-0.2904814685003742,0.1099186602622838,Sul,sul,log_num_voters_low_ed
8,fixest::.__event_time_plot__::8:.__ever_treated__,0.0559183951403256,0.0722051328474536,0.7744379510867089,0.4585328634991553,-0.1074209633213375,0.2192577536019888,Sul,sul,log_num_voters_low_ed
-8,fixest::.__event_time_plot__::-8:.__ever_treated__,0.0133922667630601,0.0159081109051659,0.8418514833657047,0.4216766395929344,-0.0225943802676493,0.0493789137937696,Sul,sul,log_num_voters_high_ed
-6,fixest::.__event_time_plot__::-6:.__ever_treated__,0.0028228389919291,0.0143380278188569,0.196877773400375,0.8482973842896109,-0.0296120333388979,0.0352577113227562,Sul,sul,log_num_voters_high_ed
-4,fixest::.__event_time_plot__::-4:.__ever_treated__,-0.0004573397391766344,0.0077544543178448,-0.0589776817853175,0.9542586636437942,-0.0179991341178808,0.0170844546395275,Sul,sul,log_num_voters_high_ed
-2,(reference period),0.0,,,,,,Sul,sul,log_num_voters_high_ed
0,fixest::.__event_time_plot__::0:.__ever_treated__,0.0207580616294767,0.0090959062888083,2.282132309896109,0.0483934317191654,0.0001816920661077033,0.0413344311928457,Sul,sul,log_num_voters_high_ed
2,fixest::.__event_time_plot__::2:.__ever_treated__,0.030733644616571,0.0125756403977473,2.443902946054056,0.0371261877415737,0.0022855696140325,0.0591817196191096,Sul,sul,log_num_voters_high_ed
4,fixest::.__event_time_plot__::4:.__ever_treated__,0.0034060328887432,0.01520991447105,0.2239350454748574,0.8278086201966027,-0.0310011840774906,0.0378132498549771,Sul,sul,log_num_voters_high_ed
